Company;Polarity;Subjectivity;Positive;Negative;Neutral;Sentiment Score;Datapoints;Date;Social Pillar Score;Sector
002385.SZ;0.172972973;0.454504505;1;0;0;0.586486486;1;31/12/2022;30.34857026;Food & Beverages
002714.SZ;-0.04375;0.74375;0;0;1;0.478125;1;31/12/2022;41.4664356;Food & Beverages
007310.KS;0.021370379;0.260431204;1;0;3;0.510685189;4;31/12/2022;30.21602836;Food & Beverages
0220.HK;0.026984127;0.058730159;1;0;2;0.513492063;3;31/12/2022;55.58021988;Food & Beverages
0288.HK;0.159299628;0.451427279;4;0;0;0.579649814;4;31/12/2022;81.41824987;Food & Beverages
033780.KS;0.08015983;0.344274737;12;0;5;0.540079915;17;31/12/2022;66.59384787;Food & Beverages
0546.HK;0;0;0;0;1;0.5;1;;;Food & Beverages
097950.KS;0.135392992;0.383080808;1;0;0;0.567696496;1;31/12/2022;68.7806014;Food & Beverages
1876.HK;0.01165293;0.205059524;0;0;2;0.505826465;2;31/12/2021;75.60372341;Food & Beverages
2229.T;0;0;0;0;1;0.5;1;31/03/2023;47.87736368;Food & Beverages
2269.T;0.2915625;0.592916667;3;0;2;0.64578125;5;;;Food & Beverages
2280.SE;0.031045319;0.103464338;4;0;7;0.51552266;11;31/12/2022;70.46038065;Food & Beverages
2319.HK;0.055884791;0.13479866;1;0;2;0.527942396;3;31/12/2022;79.89328034;Food & Beverages
2587.T;-0.104708255;0.239661265;1;1;4;0.447645873;6;31/12/2022;73.79898862;Food & Beverages
2914.T;0.044463869;0.270862471;0;0;1;0.522231935;1;31/12/2022;88.91703341;Food & Beverages
300498.SZ;-0.04375;0.74375;0;0;1;0.478125;1;31/12/2022;39.03692676;Food & Beverages
300999.SZ;0.137214269;0.37529065;1;0;0;0.568607135;1;31/12/2021;68.51629641;Food & Beverages
600519.SS;0.044570656;0.389919566;2;0;1;0.522285328;3;31/12/2022;30.8041324;Food & Beverages
6186.HK;0;0;0;0;3;0.5;3;31/12/2022;50.94308475;Food & Beverages
6969.HK;0;0;0;0;2;0.5;2;31/12/2022;61.39187601;Food & Beverages
9633.HK;0;0;0;0;2;0.5;2;31/12/2022;66.90656498;Food & Beverages
AAK.ST;0;0;0;0;3;0.5;3;31/12/2022;69.20030085;Food & Beverages
ABF.L;0.044570618;0.179932169;5;0;11;0.522285309;16;;;Food & Beverages
AC.MX;0;0;0;0;1;0.5;1;31/12/2022;77.19763694;Food & Beverages
ADAW.NS;0.060979574;0.400394564;17;1;14;0.530489787;32;;;Food & Beverages
AGRO.N;0.011414141;0.065663115;1;0;4;0.505707071;5;31/12/2022;66.0951705;Food & Beverages
AGTHIA.AD;0.151373938;0.348703905;2;0;0;0.575686969;2;31/12/2022;48.92928111;Food & Beverages
ATM.NZ;0.05537397;0.223917279;3;0;4;0.527686985;7;;;Food & Beverages
AUSS.OL;0;0;0;0;3;0.5;3;31/12/2022;76.93799489;Food & Beverages
BARN.S;0.057971123;0.234178914;6;0;8;0.528985562;14;;;Food & Beverages
BG.N;0.087196491;0.430718028;29;0;10;0.543598246;39;;;Food & Beverages
BRBR.N;0.102726568;0.21522808;2;0;1;0.551363284;3;;;Food & Beverages
BRFS3.SA;0.041387191;0.413428826;0;0;2;0.520693596;2;31/12/2021;79.51982869;Food & Beverages
BRIMH.IC;0;0;0;0;2;0.5;2;31/12/2022;27.71462993;Food & Beverages
BVIC.L;0.047151866;0.244434461;5;0;5;0.523575933;10;30/09/2023;80.15553961;Food & Beverages
CCH.L;0.015498948;0.053173459;6;0;35;0.507749474;41;31/12/2022;92.1844027;Food & Beverages
CELH.OQ;-0.003564149;0.39075704;0;0;11;0.498217925;11;31/12/2022;10.14681786;Food & Beverages
COCO.OQ;0.17612798;0.419951031;3;0;0;0.58806399;3;31/12/2022;13.996299;Food & Beverages
CPRI.MI;0.09909746;0.420153421;9;1;2;0.54954873;12;31/12/2021;77.42828346;Food & Beverages
DAR.N;0.110371822;0.243521711;2;0;1;0.555185911;3;31/12/2022;63.02831931;Food & Beverages
EBRO.MC;0;0;0;0;4;0.5;4;31/12/2022;82.80340628;Food & Beverages
EMMN.S;0.089198103;0.177943981;1;0;1;0.544599052;2;31/12/2022;55.88042063;Food & Beverages
FCG.NZ;0.061236736;0.214955749;11;0;5;0.530618368;16;31/07/2023;42.74922215;Food & Beverages
FDP.N;0.012436598;0.1667454;0;0;4;0.506218299;4;;;Food & Beverages
FEVR.L;0.087472356;0.306591511;3;0;1;0.543736178;4;31/12/2022;16.28319061;Food & Beverages
FGVH.KL;0.030688781;0.155107595;2;0;7;0.515344391;9;;;Food & Beverages
FRPT.OQ;0.030159909;0.440095325;7;4;3;0.515079954;14;31/12/2022;57.36607705;Food & Beverages
GNC.AX;0.176827611;0.555733064;2;0;1;0.588413805;3;30/09/2023;51.07330239;Food & Beverages
GODE.NS;0;0;0;0;4;0.5;4;;;Food & Beverages
ICBP.JK;0.141176888;0.483510091;2;0;0;0.570588444;2;31/12/2022;63.1816168;Food & Beverages
INDF.JK;0.002731301;0.445385998;2;2;0;0.50136565;4;31/12/2022;78.71123454;Food & Beverages
INGR.N;0.157871863;0.365781413;12;0;2;0.578935932;14;31/12/2022;70.78793683;Food & Beverages
ITC.NS;0.000395554;0.258604695;1;1;3;0.500197777;5;31/03/2023;90.24787472;Food & Beverages
JBSS3.SA;0.062301264;0.431696537;23;5;14;0.531150632;42;31/12/2022;60.4780462;Food & Beverages
JDEP.AS;0.27897534;0.494054705;2;0;0;0.63948767;2;31/12/2022;75.3886233;Food & Beverages
KDP.OQ;0.14772263;0.425879028;32;1;5;0.573861315;38;31/12/2022;70.866403;Food & Beverages
KHC.OQ;0.069395003;0.373122772;24;2;8;0.534697501;34;31/12/2022;73.75676851;Food & Beverages
LSG.OL;0;0;0;0;2;0.5;2;31/12/2022;64.52404514;Food & Beverages
LW.N;0;0;0;0;7;0.5;7;;;Food & Beverages
MDIA3.SA;0.118766178;0.249771613;6;0;0;0.559383089;6;31/12/2022;60.06786207;Food & Beverages
MDLZ.OQ;0.047741295;0.202033595;25;1;44;0.523870647;70;31/12/2022;85.22959317;Food & Beverages
MRFG3.SA;0.035670996;0.511839827;0;0;1;0.517835498;1;31/12/2022;64.32442912;Food & Beverages
MSN.HM;0.252342403;0.443078736;6;0;0;0.626171202;6;31/12/2022;13.55162015;Food & Beverages
NAPA.N;0.043018027;0.187045735;2;0;2;0.521509014;4;31/07/2023;48.34439698;Food & Beverages
NOMD.N;0.061623377;0.204101732;1;0;1;0.530811688;2;31/12/2022;56.80604648;Food & Beverages
OLAG.SI;0.009440785;0.39002847;3;1;3;0.504720392;7;;;Food & Beverages
OSP.BK;0.146036255;0.407372835;2;0;0;0.573018128;2;31/12/2022;70.63776397;Food & Beverages
PFD.L;0.019890152;0.205007289;4;1;12;0.509945076;17;01/04/2023;76.35166692;Food & Beverages
PM.N;0.071553643;0.306578997;12;0;8;0.535776821;20;31/12/2022;88.6906287;Food & Beverages
POST.N;0.07704616;0.232744454;8;1;8;0.53852308;17;;;Food & Beverages
PPC.OQ;0.073615194;0.405385663;9;4;2;0.536807597;15;;;Food & Beverages
QRES.KL;0;0;0;0;5;0.5;5;31/03/2023;75.01272597;Food & Beverages
SALM.OL;0.036046114;0.177752121;2;0;2;0.518023057;4;31/12/2022;38.6811428;Food & Beverages
SAP.TO;0.092238255;0.294655208;13;0;9;0.546119127;22;31/03/2023;76.74408576;Food & Beverages
SIPL.KL;-0.011923921;0.254925722;2;4;8;0.494038039;14;31/12/2022;62.62021261;Food & Beverages
SITE.N;0;0;0;0;1;0.5;1;;;Food & Beverages
SJM.N;0.051756686;0.41218651;6;4;9;0.525878343;19;;;Food & Beverages
SLCE3.SA;0.080733083;0.207299499;1;0;1;0.540366541;2;31/12/2022;29.99702006;Food & Beverages
SMPL.OQ;0.257004795;0.464863263;2;0;0;0.628502398;2;;;Food & Beverages
SRES.NS;0;0;0;0;1;0.5;1;31/03/2023;18.66833279;Food & Beverages
TACN.NS;0.086674794;0.309088509;5;1;2;0.543337397;8;31/03/2023;75.49614227;Food & Beverages
TBEV.SI;0.021510139;0.134420597;1;1;3;0.510755069;5;30/09/2023;78.93401597;Food & Beverages
TBSJ.J;0.065509428;0.299800234;4;0;2;0.532754714;6;;;Food & Beverages
THS.N;0.116648629;0.305294012;1;0;0;0.558324315;1;;;Food & Beverages
TWE.AX;0.058622413;0.207388364;4;0;8;0.529311207;12;30/06/2023;62.65157425;Food & Beverages
UBBW.NS;0.018875926;0.170583512;4;0;10;0.509437963;14;31/03/2023;57.40130887;Food & Beverages
ULKER.IS;0;0;0;0;1;0.5;1;31/12/2022;96.78048987;Food & Beverages
UTZ.N;0.097222222;0.407407407;2;0;0;0.548611111;2;;;Food & Beverages
VARB.NS;0;0;0;0;1;0.5;1;31/12/2021;26.98114807;Food & Beverages
ZYDS.NS;0;0;0;0;12;0.5;12;;;Food & Beverages
GASI.MI;0.045182417;0.2313638;11;1;13;0.522591209;25;31/12/2022;87.52577718;Insurance
US.MI;0.004599736;0.01043517;1;0;23;0.502299868;24;31/12/2022;81.11738647;Insurance
FFH.TO;0.178505738;0.317766134;6;0;2;0.589252869;8;31/12/2022;42.15031199;Insurance
MUVGn.DE;0.087431702;0.231540371;11;0;8;0.543715851;19;31/12/2022;87.22553505;Insurance
HIG.N;0.113834755;0.332666229;3;0;1;0.556917377;4;;;Insurance
